序号,attribute,subject,chart,class,label
1,MONETARYFUNDS,货币资金,BS表,流动资产,1
2,TRADE_FINASSET_NOTFVTPL,交易性金融资产,BS表,流动资产,1
3,DERIVE_FINASSET,衍生金融资产,BS表,流动资产,1
4,NOTE_ACCOUNTS_RECE,应收票据及应收账款,BS表,流动资产,1
5,ACCOUNTS_RECE,应收账款,BS表,流动资产,1
6,NOTE_RECE,其中:应收票据,BS表,流动资产,1
7,FINANCE_RECE,应收款项融资,BS表,流动资产,1
8,PREPAYMENT,预付款项,BS表,流动资产,1
9,TOTAL_OTHER_RECE,其他应收款合计,BS表,流动资产,1
10,INTEREST_RECE,其中:应收利息,BS表,流动资产,1
11,INVENTORY,存货,BS表,流动资产,1
12,CONTRACT_ASSET,合同资产,BS表,流动资产,1
13,AVAILABLE_SALE_FINASSET,持有待售资产,BS表,流动资产,1
14,NONCURRENT_ASSET_1YEAR,一年内到期的非流动资产,BS表,流动资产,1
15,OTHER_CURRENT_ASSET,其他流动资产,BS表,流动资产,1
16,CURRENT_ASSET_OTHER,流动资产其他项目,BS表,流动资产,1
17,TOTAL_CURRENT_ASSETS,流动资产合计,BS表,流动资产,1
18,CREDITOR_INVEST,债权投资,BS表,非流动资产,1
19,LONG_RECE,长期应收款,BS表,非流动资产,1
20,LONG_EQUITY_INVEST,长期股权投资,BS表,非流动资产,1
21,OTHER_EQUITY_INVEST,其他权益工具投资,BS表,非流动资产,1
22,OTHER_NONCURRENT_FINASSET,其他非流动金融资产,BS表,非流动资产,1
23,INVEST_REALESTATE,投资性房地产,BS表,非流动资产,1
24,FIXED_ASSET,固定资产,BS表,非流动资产,1
25,CIP,在建工程,BS表,非流动资产,1
26,USERIGHT_ASSET,使用权资产,BS表,非流动资产,1
27,OIL_GAS_ASSET,油气资产,BS表,非流动资产,1
28,INTANGIBLE_ASSET,无形资产,BS表,非流动资产,1
29,DEVELOP_EXPENSE,开发支出,BS表,非流动资产,1
30,LONG_PREPAID_EXPENSE,长期待摊费用,BS表,非流动资产,1
31,GOODWILL,商誉,BS表,非流动资产,1
32,DEFER_TAX_ASSET,递延所得税资产,BS表,非流动资产,1
33,OTHER_NONCURRENT_ASSET,其他非流动资产,BS表,非流动资产,1
33,OTHER_NONCURRENT_FINASSET,其他非流动金融资产,BS表,非流动资产,1
34,NONCURRENT_ASSET_OTHER,非流动资产其他项目,BS表,非流动资产,1
35,TOTAL_NONCURRENT_ASSETS,非流动资产合计,BS表,非流动资产,1
36,TOTAL_ASSETS,资产总计,BS表,资产,1
37,FVTPL_FINLIAB,交易性金融负债,BS表,流动负债,2
38,SHORT_LOAN,短期借款,BS表,流动负债,2
39,DERIVE_FINLIAB,衍生金融负债,BS表,流动负债,2
40,ACCOUNTS_PAYABLE,应付账款,BS表,流动负债,2
41,NOTE_ACCOUNTS_PAYABLE,应付票据及应付账款,BS表,流动负债,2
42,ACCOUNTS_PAYABLE,应付账款,BS表,流动负债,2
43,NOTE_PAYABLE,其中:应付票据,BS表,流动负债,2
44,DIVIDEND_PAYABLE,应付股利,BS表,流动负债,2
45,ADVANCE_RECEIVABLES,预收款项,BS表,流动负债,2
46,CONTRACT_LIAB,合同负债,BS表,流动负债,2
47,STAFF_SALARY_PAYABLE,应付职工薪酬,BS表,流动负债,2
48,TAX_PAYABLE,应交税费,BS表,流动负债,2
