,symbol,name
0,302132,中航成飞
1,002157,正邦科技
2,001389,广合科技
3,300627,华测导航
4,001696,宗申动力
5,002096,易普力
6,301536,星宸科技
7,300757,罗博特科
8,002544,普天科技
9,000099,中信海直
10,000682,东方电子
11,000737,北方铜业
12,002270,华明装备
13,002003,伟星股份
14,300857,协创数据
15,002432,九安医疗
16,002126,银轮股份
17,301589,诺瓦星云
18,000415,渤海租赁
19,000628,高新发展
20,002737,葵花药业
21,300339,润和软件
22,301015,百洋医药
23,000766,通化金马
24,300475,香农芯创
25,300140,节能环境
26,000429,粤高速A
27,301498,乖宝宠物
28,000088,盐田港
29,301487,盟固利
30,000543,皖能电力
31,002837,英维克
32,300735,光弘科技
33,300364,中文在线
34,000552,甘肃能化
35,002240,盛新锂能
36,002832,比音勒芬
37,300002,神州泰岳
38,301358,湖南裕能
39,002698,博实股份
40,002318,久立特材
41,001286,陕西能源
42,002832,比音勒芬
43,301267,华厦眼科
44,300394,天孚通信
45,002060,粤水电
46,000034,神州数码
47,300002,神州泰岳
48,301165,锐捷网络
49,001287,中电港
50,300442,润泽科技
51,300229,拓尔思
52,301039,中集车辆
53,000426,兴业银锡
54,002698,博实股份
55,300765,新诺威
56,301308,江波龙
57,301269,华大九天
58,301238,瑞泰新材
59,002517,恺英网络
60,002015,协鑫能科
61,300212,易华录
62,002317,众生药业
63,300910,瑞丰新材
64,301095,广立微
65,000422,湖北宜化
66,300438,鹏辉能源
67,300432,富临精工
68,002484,江海股份
69,000893,亚钾国际
70,300395,菲利华
71,002472,双环传动
72,002518,科士达
73,300428,立中集团
74,301207,华兰疫苗
75,301155,海力风电
76,001308,康冠科技
77,000810,创维数字
78,300487,蓝晓科技
79,301236,软通动力
80,002865,钧达股份
81,001308,康冠科技
82,001227,兰州银行
83,002518,科士达
84,300428,立中集团
85,000893,亚钾国际
86,000032,深桑达A
87,300776,帝尔激光
88,000875,吉电股份
89,000408,藏格矿业
90,301050,雷电微力
91,002739,万达电影
92,001203,大中矿业
93,001213,中铁特货
94,002738,中矿资源
95,300034,钢研高纳
96,002466,天齐锂业
97,301029,怡合达
98,000762,西藏矿业
99,000519,中兵红箭
100,000636,风华高科
101,002906,华阳集团
102,300672,国科微
103,001289,龙源电力
104,002487,大金重工
105,300821,东岳硅材
106,002617,露笑科技
107,000818,航锦科技
108,002407,多氟多
109,002145,中核钛白
110,002312,川发龙蟒
111,300957,贝泰妮
112,300604,长川科技
113,300568,星源材质
114,000792,盐湖股份
115,002176,江特电机
116,002245,蔚蓝锂芯
117,000966,长源电力
118,002850,科达利
119,300979,华利集团
120,002145,中核钛白
121,002407,多氟多
122,002617,露笑科技
123,003022,联泓新科
124,003035,南网能源
125,300604,长川科技
126,300769,德方纳米
127,300171,东富龙
128,300957,贝泰妮
129,002221,东华能源
130,002497,雅化集团
131,300866,安克创新
132,002984,森麒麟
133,002747,埃斯顿
134,300763,锦浪科技
135,000799,酒鬼酒
136,002851,麦格米特
137,002608,江苏国信
138,002945,华林证券
139,002756,永兴材料
140,000927,中国铁物
141,300832,新产业
142,300861,美畅股份
143,300888,稳健医疗
144,300896,爱美客
145,000539,粤电力A
146,300803,指南针
147,002532,天山铝业
148,002498,汉缆股份
149,000403,双林生物
150,300623,捷捷微电
151,300346,南大光电
152,002978,安宁股份
153,300726,宏达电子
154,300677,英科医疗
155,300751,迈为股份
156,300638,广和通
157,300298,三诺生物
158,002541,鸿路钢构
159,300999,金龙鱼
160,000785,居然之家
161,002064,华峰氨纶
162,002436,兴森科技
163,002675,东诚药业
164,002791,坚朗五金
165,300456,赛微电子
166,300777,中简科技
167,000958,东方能源
168,001914,招商积余
169,002216,三全食品
170,002409,雅克科技
171,002459,晶澳科技
172,002568,百润股份
173,002683,宏大爆破
174,002705,新宝股份
175,002966,苏州银行
176,300223,北京君正
177,300502,新易盛
178,300775,三角防务
179,300782,卓胜微
180,000708,中信特钢
181,002531,天顺风能
182,300661,圣邦股份
183,300759,康龙化成
184,000688,国城矿业
185,000967,盈峰环境
186,002423,中粮资本
187,002948,青岛银行
188,002958,青农商行
189,300674,宇信科技
190,300682,朗新科技
191,300761,立华股份
192,300773,拉卡拉
193,002099,海翔药业
194,003816,中国广核
195,300633,开立医疗
196,002938,鹏鼎控股
197,002557,洽洽食品
198,000739,普洛药业
199,000629,攀钢钒钛
200,300457,赢合科技
201,300724,捷佳伟创
202,000739,普洛药业
203,300595,欧普康视
204,000035,中国天楹
205,002936,郑州银行
206,001872,招商港口
207,002939,长城证券
208,002414,高德红外
209,002653,海思科
210,300748,金力永磁
211,300633,开立医疗
212,002938,鹏鼎控股
213,000629,攀钢钒钛
214,002203,海亮股份
215,002867,周大生
216,002463,沪电股份
217,000301,东方盛虹
218,002430,杭氧股份
219,002511,中顺洁柔
220,002607,亚夏汽车
221,002690,美亚光电
222,002727,一心堂
223,002925,盈趣科技
224,002926,华西证券
225,300012,华测检测
226,300454,深信服
227,300567,精测电子
228,300760,迈瑞医疗
229,300037,新宙邦
230,300357,我武生物
231,300482,万孚生物
232,300529,健帆生物
233,300747,锐科激光
234,300750,宁德时代
235,002507,涪陵榨菜
236,002812,创新股份
237,002821,凯莱英
238,300676,华大基因
239,000528,柳工
240,000935,四川双马
241,001965,招商公路
242,002080,中材科技
243,002156,通富微电
244,002262,恩华药业
245,002320,海峡股份
246,002372,伟星新材
247,002402,和而泰
248,002812,创新股份
249,002821,凯莱英
250,002916,深南电路
251,002920,德赛西威
252,300054,鼎龙股份
253,300285,国瓷材料
254,300308,中际旭创
255,300373,扬杰科技
256,300476,胜宏科技
257,300601,康泰生物
258,300666,江丰电子
259,300676,华大基因
260,300699,光威复材
261,002745,木林森
262,300628,亿联网络
263,000921,海信科龙
264,002648,卫星石化
265,000591,太阳能
266,002032,苏泊尔
267,000401,冀东水泥
268,002028,思源电气
269,002091,江苏国泰
270,002841,视源股份
271,002597,金禾实业
272,300316,晶盛机电
273,000830,鲁西化工
274,000723,美锦能源
275,002558,巨人网络
276,002352,顺丰控股
277,002601,龙蟒佰利
278,002468,申通快递
279,002120,韵达股份
280,002670,国盛金控
281,002506,协鑫集成
282,300450,先导智能
283,000703,恒逸石化
284,000877,天山股份
285,002408,齐翔腾达
286,300459,金科娱乐
287,002558,巨人网络
288,002352,顺丰控股
289,002601,龙蟒佰利
290,002468,申通快递
291,002120,韵达股份
292,000933,神火股份
293,002180,艾派克
294,002371,七星电子
295,300294,博雅生物
296,300073,当升科技
297,002797,第一创业
298,300118,东方日升
299,002643,万润股份
300,002624,完美世界
301,002600,江粉磁材
302,002709,天赐材料
303,300474,景嘉微
304,000959,首钢股份
305,300296,利亚德
306,002044,美年健康
307,300458,全志科技
308,002010,传化股份
309,002027,分众传媒
310,002281,光迅科技
311,002460,赣锋锂业
312,002572,索菲亚
313,300009,安科生物
314,300014,亿纬锂能
315,300383,光环新网
316,300418,昆仑万维
317,300496,中科创达
318,300413,快乐购
319,300433,蓝思科技
320,002074,国轩高科
321,002555,顺荣三七
322,002773,康弘药业
323,300001,特锐德
324,300136,信维通信
325,300413,快乐购
326,300433,蓝思科技
327,002625,龙生股份
328,001979,招商蛇口
329,300498,温氏股份
330,000547,闽福发A
331,000627,天茂集团
332,000987,广州友谊
333,002195,二三四五
334,002373,千方科技
335,002736,国信证券
336,300033,同花顺
337,300122,智飞生物
338,300408,三环集团
339,000728,国元证券
340,000729,燕京啤酒
341,000738,中航动控
342,000750,国海证券
343,000778,新兴铸管
344,000786,北新建材
345,000800,一汽轿车
346,002252,上海莱士
347,002266,浙富控股
348,002268,卫士通
349,002271,东方雨虹
350,002273,水晶光电
351,002294,信立泰
352,002299,圣农发展
353,002311,海大集团
354,002340,格林美
355,002368,太极股份
356,002384,东山精密
357,002385,大北农
358,002405,四维图新
359,002410,广联达
360,002008,大族激光
361,002019,亿帆鑫富
362,002025,航天电器
363,002048,宁波华翔
364,002049,同方国芯
365,002050,三花股份
366,002056,横店东磁
367,002065,东华软件
368,002078,太阳纸业
369,002085,万丰奥威
370,002128,露天煤业
371,002129,中环股份
372,002131,利欧股份
373,002138,顺络电子
374,002151,北斗星通
375,002152,广电运通
376,002153,石基信息
377,002155,辰州矿业
378,002179,中航光电
379,002183,怡亚通
380,002185,华天科技
381,002202,金风科技
382,002223,鱼跃医疗
383,002237,恒邦股份
384,002244,滨江集团
385,002249,大洋电机
386,002252,上海莱士
387,002266,浙富控股
388,002268,卫士通
389,002271,东方雨虹
390,002273,水晶光电
391,002294,信立泰
392,002299,圣农发展
393,002311,海大集团
394,002340,格林美
395,002368,太极股份
396,002384,东山精密
397,002385,大北农
398,002405,四维图新
399,002410,广联达
400,002179,中航光电
401,002183,怡亚通
402,002185,华天科技
403,002202,金风科技
404,002223,鱼跃医疗
405,002237,恒邦股份
406,002244,滨江集团
407,002249,大洋电机
408,002252,上海莱士
409,002266,浙富控股
410,002268,卫士通
411,002271,东方雨虹
412,002273,水晶光电
413,002294,信立泰
414,002299,圣农发展
415,002311,海大集团
416,002340,格林美
417,002368,太极股份
418,002384,东山精密
419,002385,大北农
420,002405,四维图新
421,002410,广联达
422,002422,科伦药业
423,300017,网宿科技
424,300024,机器人
425,300026,红日药业
426,300058,蓝色光标
427,300059,东方财富
428,300088,长信科技
429,300115,长盈精密
430,300124,汇川技术
431,300142,沃森生物
432,300144,宋城演艺
433,300146,汤臣倍健
434,300182,捷成股份
435,300207,欣旺达
436,300251,光线传媒
437,300253,卫宁软件
438,300257,开山股份
439,300274,阳光电源
440,002508,老板电器
441,002563,森马服饰
442,002595,豪迈科技
443,002603,以岭药业
444,002673,西部证券
445,002701,奥瑞金
446,002714,牧原股份
447,300003,乐普医疗
448,300015,爱尔眼科
449,300017,网宿科技
450,300024,机器人
451,300026,红日药业
452,300058,蓝色光标
453,300059,东方财富
454,300088,长信科技
455,300115,长盈精密
456,300124,汇川技术
457,300142,沃森生物
458,300144,宋城演艺
459,300146,汤臣倍健
460,300182,捷成股份
461,300207,欣旺达
462,300251,光线传媒
463,300253,卫宁软件
464,300257,开山股份
465,300274,阳光电源
466,300347,泰格医药
467,000166,申万宏源
468,002456,欧菲光
469,000581,威孚高科
470,002230,科大讯飞
471,002236,大华股份
472,002353,杰瑞股份
473,002594,比亚迪
474,300070,碧水源
475,000333,美的集团
476,000100,TCL集团
477,000625,长安汽车
478,000725,京东方A
479,002241,歌尔声学
480,002241,歌尔声学
481,002415,海康威视
482,000776,广发证券
483,002304,洋河股份
484,000423,东阿阿胶
485,000538,云南白药
486,000157,中联重科
487,000783,长江证券
488,000338,潍柴动力
489,002142,宁波银行
490,000895,双汇发展
491,000623,吉林敖东
492,000768,西飞国际
493,000568,泸州老窖
494,000651,格力电器
495,000001,平安银行
496,000002,万科A
497,000063,中兴通讯
498,000069,华侨城A
499,000858,五粮液
