,symbol,name
0,688530,欧莱新材
1,688691,灿芯股份
2,688695,中创股份
3,688584,上海合晶
4,688709,成都华微
5,688033,天宜上佳
6,688032,禾迈股份
7,688031,星环科技
8,688030,山石网科
9,688029,南微医学
10,688028,沃尔德
11,688027,国盾量子
12,688035,德邦科技
13,688036,传音控股
14,688048,长光华芯
15,688047,龙芯中科
16,688046,药康生物
17,688045,必易微
18,688041,海光信息
19,688039,当虹科技
20,688038,中科通达
21,688037,芯源微
22,688026,洁特生物
23,688025,杰普特
24,688005,容百科技
25,688006,杭可科技
26,688007,光峰科技
27,688009,中国通号
28,688010,福光股份
29,688011,新光光电
30,688012,中微公司
31,688013,天臣医疗
32,688015,交控科技
33,688016,心脉医疗
34,688018,乐鑫科技
35,688019,安集科技
36,688020,方邦股份
37,688021,奥福环保
38,688022,瀚川智能
39,688023,安恒信息
40,688075,安旭生物
41,688073,毕得医药
42,688092,爱科科技
43,688050,爱博医疗
44,688025,杰普特
45,688023,安恒信息
46,688022,瀚川智能
47,688021,奥福环保
48,688020,方邦股份
49,688019,安集科技
50,688018,乐鑫科技
51,688016,心脉医疗
52,688015,交控科技
53,688013,天臣医疗
54,688012,中微公司
55,688011,新光光电
56,688010,福光股份
57,688009,中国通号
58,688007,光峰科技
59,688006,杭可科技
60,688005,容百科技
61,688026,洁特生物
62,688027,国盾量子
63,688049,炬芯科技
64,688048,长光华芯
65,688047,龙芯中科
66,688046,药康生物
67,688045,必易微
68,688041,海光信息
69,688039,当虹科技
70,688038,中科通达
71,688037,芯源微
72,688036,传音控股
73,688035,德邦科技
74,688033,天宜上佳
75,688032,禾迈股份
76,688031,星环科技
77,688030,山石网科
78,688029,南微医学
79,688028,沃尔德
80,688092,爱科科技
81,688093,世华科技
82,688095,福昕软件
83,688096,京源环保
84,688097,博众精工
85,688098,申联生物
86,688099,晶晨股份
87,688100,威胜信息
88,688101,三达膜
89,688102,斯瑞新材
90,688103,国力股份
91,688105,诺唯赞
92,688106,金宏气体
93,688107,安路科技
94,688108,赛诺医疗
95,688109,品茗科技
96,688110,东芯股份
97,688111,金山办公
98,688112,鼎阳科技
99,688113,联测科技
100,688114,华大智造
101,688115,思林杰
102,688116,天奈科技
103,688117,圣诺生物
104,688118,普元信息
105,688119,中钢洛耐
106,688120,华海清科
107,688121,卓然股份
108,688122,西部超导
109,688123,聚辰股份
110,688125,安达智能
111,688126,沪硅产业
112,688127,蓝特光学
113,688128,中国电研
114,688129,东来技术
115,688130,晶华微
116,688131,皓元医药
117,688132,邦彦技术
118,688133,泰坦科技
119,688135,利扬芯片
120,688136,科兴制药
121,688137,近岸蛋白
122,688138,清溢光电
123,688139,海尔生物
124,688141,杰华特
125,688143,长盈通
126,688146,中船特气
127,688147,微导纳米
128,688148,芳源股份
129,688150,莱特光电
130,688151,华强科技
131,688152,麒麟信安
132,688153,唯捷创芯
133,688155,先惠技术
134,688156,路德环境
135,688157,松井股份
136,688158,优刻得
137,688159,有方科技
138,688160,步科股份
139,688161,威高骨科
140,688162,巨一科技
141,688163,赛伦生物
142,688165,埃夫特
143,688166,博瑞医药
144,688167,炬光科技
145,688168,安博通
146,688169,石头科技
147,688170,德龙激光
148,688171,纬德信息
149,688172,燕东微
150,688173,希荻微
151,688175,高凌信息
152,688176,亚虹医药
153,688177,百奥泰
154,688178,万德斯
155,688179,阿拉丁
156,688180,君实生物
157,688181,八亿时空
158,688182,灿勤科技
159,688183,生益电子
160,688184,帕瓦股份
161,688185,康希诺
162,688186,广大特材
163,688187,时代电气
164,688188,柏楚电子
165,688189,南新制药
166,688190,云路股份
167,688191,智洋创新
168,688192,迪哲医药
169,688193,仁度生物
170,688195,腾景科技
171,688196,卓越新能
172,688197,首药控股
173,688198,佰仁医疗
174,688199,久日新材
175,688200,华峰测控
176,688201,信安世纪
177,688202,美迪西
178,688203,海正生材
179,688205,德科立
180,688206,概伦电子
181,688207,格灵深瞳
182,688208,道通科技
183,688209,英集芯
184,688210,统联精密
185,688211,中科微至
186,688212,澳华内镜
187,688213,思特威
188,688215,瑞晟智能
189,688216,气派科技
190,688217,睿昂基因
191,688218,江苏北人
192,688219,会通股份
193,688220,翱捷科技
194,688221,前沿生物
195,688222,成都先导
196,688223,晶科能源
197,688225,亚信安全
198,688226,威腾电气
199,688227,品高股份
200,688228,开普云
201,688229,博睿数据
202,688230,芯导科技
203,688231,隆达股份
204,688232,新点软件
205,688233,神工股份
206,688234,天岳先进
207,688235,百济神州
208,688236,春立医疗
209,688237,超卓航科
210,688238,和元生物
211,688239,航宇科技
212,688244,永信至诚
213,688246,嘉和美康
214,688247,宣泰医药
215,688248,南网科技
216,688249,晶合集成
217,688251,井松智能
218,688252,天德钰
219,688253,英诺特
220,688255,凯尔达
221,688256,寒武纪
222,688257,新锐股份
223,688258,卓易信息
224,688259,创耀科技
225,688260,昀冢科技
226,688261,东微半导
227,688262,国芯科技
228,688265,南模生物
229,688266,泽�Z制药
230,688267,中触媒
231,688268,华特气体
232,688269,凯立新材
233,688270,臻镭科技
234,688271,联影医疗
235,688272,富吉瑞
236,688273,麦澜德
237,688275,万润新能
238,688276,百克生物
239,688277,天智航
240,688278,特宝生物
241,688279,峰�G科技
242,688280,精进电动
243,688281,华秦科技
244,688283,坤恒顺维
245,688285,高铁电气
246,688286,敏芯股份
247,688288,鸿泉物联
248,688289,圣湘生物
249,688290,景业智能
250,688291,金橙子
251,688292,浩瀚深度
252,688293,奥浦迈
253,688295,中复神鹰
254,688296,和达科技
255,688297,中无人机
256,688298,东方生物
257,688299,长阳科技
258,688300,联瑞新材
259,688301,奕瑞科技
260,688302,海创药业
261,688303,大全能源
262,688305,科德数控
263,688306,均普智能
264,688307,中润光学
265,688308,欧科亿
266,688309,恒誉环保
267,688310,迈得医疗
268,688311,盟升电子
269,688312,燕麦科技
270,688313,仕佳光子
271,688314,康拓医疗
272,688315,诺禾致源
273,688316,青云科技
