,symbol,name
0,600389,江山股份
1,603086,先达股份
2,603970,中农立华
3,600596,新安股份
4,002868,*ST绿康
5,603810,丰山集团
6,300119,瑞普生物
7,000525,ST红太阳
8,600538,国发股份
9,870656,海昇药业
10,920819,颖泰生物
11,301665,泰禾股份
12,002258,利尔化学
13,003042,中农联合
14,300575,中旗股份
15,605033,美邦股份
16,002734,利民股份
17,002942,新农股份
18,603566,普莱柯
19,002513,蓝丰生化
20,600731,湖南海利
21,001231,农心科技
22,002391,长青股份
23,603639,海利尔
24,600195,中牧股份
25,002496,*ST辉丰
26,002749,国光股份
27,603585,苏利股份
28,200553,安道麦B
29,300796,贝斯美
30,600226,亨通股份
31,688526,科前生物
32,688098,申联生物
33,300804,广康生化
34,000553,安道麦A
35,603360,百傲化学
36,600201,生物股份
37,002215,诺 普 信
38,603599,广信股份
39,301035,润丰股份
40,002004,华邦健康
41,002250,联化科技
42,002688,金河生物
43,600486,扬农化工
44,603718,海利生物
45,870866,绿亨科技
46,300261,雅本化学
47,300871,回盛生物
