,symbol,name
0,603611,诺力股份
1,002204,大连重工
2,601226,华电科工
3,001288,运机集团
4,002272,川润股份
5,200055,方大Ｂ
6,601100,恒立液压
7,600815,厦工股份
8,873223,荣亿精密
9,300718,长盛轴承
10,001226,拓山重工
11,600031,三一重工
12,603638,艾迪精密
13,603298,杭叉集团
14,605389,长龄液压
15,000680,山推股份
16,000425,徐工机械
17,600984,建设机械
18,600817,宇通重工
19,300201,海伦哲
20,000528,柳    工
21,603338,浙江鼎力
22,000157,中联重科
23,871245,威博液压
24,600761,安徽合力
25,002097,山河智能
26,300022,吉峰科技
27,688425,铁建重工
28,603194,中力股份
29,834599,同力股份
30,835174,五新隧装
31,873706,铁拓机械
