,symbol,name
0,301488,豪恩汽电
1,870436,大地电气
2,300695,兆丰股份
3,300258,精锻科技
4,002547,春兴精工
5,002510,天汽模
6,603758,秦安股份
7,002284,亚太股份
8,002813,路畅科技
9,600699,均胜电子
10,002590,万安科技
11,001319,铭科精技
12,603286,日盈电子
13,603040,新坐标
14,002190,成飞集成
15,603178,圣龙股份
16,000559,万向钱潮
17,301613,新铝时代
18,002126,银轮股份
19,605133,嵘泰股份
20,688326,经纬恒润-W
21,603788,宁波高发
22,301072,中捷精工
23,301119,正强股份
24,603809,豪能股份
25,000981,山子高科
26,600081,东风科技
27,301499,维科精密
28,002355,兴民智通
29,002448,中原内配
30,002283,天润工业
31,603197,保隆科技
32,837663,明阳科技
33,300680,隆盛科技
34,605018,长华集团
35,603013,亚普股份
36,603089,正裕工业
37,002870,香山股份
38,301550,斯菱股份
39,603158,腾龙股份
40,002664,信质集团
41,605228,神通科技
42,603335,迪生力
43,603239,浙江仙通
44,301007,德迈仕
45,603926,铁流股份
46,688071,华依科技
47,301022,海泰科
48,603121,华培动力
49,002363,隆基机械
50,839946,华阳变速
51,603166,福达股份
52,832000,安徽凤凰
53,836221,易实精密
54,605088,冠盛股份
55,603586,金麒麟
56,002920,德赛西威
57,301552,科力装备
58,600698,湖南天雁
59,603390,通达电气
60,600960,渤海汽车
61,838171,邦德股份
62,000903,云内动力
63,300969,恒帅股份
64,603997,继峰股份
65,300643,万通智控
66,002101,广东鸿图
67,600609,金杯汽车
68,873690,捷众科技
69,301607,富特科技
70,300926,博俊科技
71,688667,菱电电控
72,600148,长春一东
73,300745,欣锐科技
74,603037,凯众股份
75,603982,泉峰汽车
76,002703,浙江世宝
77,002454,松芝股份
78,300816,艾可蓝
79,002976,瑞玛精密
80,002906,华阳集团
81,301298,东利机械
82,601279,英利汽车
83,603306,华懋科技
84,301539,宏鑫科技
85,300928,华安鑫创
86,301535,浙江华远
87,600523,贵航股份
88,002863,今飞凯达
89,301398,星源卓镁
90,600480,凌云股份
91,831195,三祥科技
92,002488,金固股份
93,603768,常青股份
94,000887,中鼎股份
95,605068,明新旭腾
96,601689,拓普集团
97,603179,新泉股份
98,301192,泰祥股份
99,000700,模塑科技
100,603701,德宏股份
101,002921,联诚精密
102,301186,超达装备
103,300304,云意电气
104,605319,无锡振华
105,838837,华原股份
106,001278,一彬科技
107,301133,金钟股份
108,002708,光洋股份
109,603006,联明股份
110,600218,全柴动力
111,301170,锡南科技
112,301229,纽泰格
113,300585,奥联电子
114,002725,跃岭股份
115,300978,东箭科技
116,300893,松原安全
117,603633,徕木股份
118,000030,富奥股份
119,002536,飞龙股份
120,301529,福赛科技
121,603048,浙江黎明
122,603201,常润股份
123,831278,泰德股份
124,833454,同心传动
125,603161,科华控股
126,603655,朗博科技
127,605255,天普股份
128,002048,宁波华翔
129,000581,威孚高科
130,002997,瑞鹄模具
131,002328,新朋股份
132,300998,宁波方正
133,603917,合力科技
134,920106,林泰新材
135,001260,坤泰股份
136,300912,凯龙高科
137,002406,远东传动
138,300863,卡倍亿
139,301560,众捷汽车
140,603190,亚通精工
141,300375,鹏翎股份
142,002662,峰璟股份
143,605151,西上海
144,002239,奥特佳
145,301181,标榜股份
146,603107,上海汽配
147,600742,一汽富维
148,605128,上海沿浦
149,300707,威唐工业
150,002715,登云股份
151,836270,天铭科技
152,002806,华锋股份
153,002434,万里扬
154,001282,三联锻造
155,603767,XD中马传
156,603211,晋拓股份
157,603348,文灿股份
158,831906,舜宇精工
159,301005,超捷股份
160,300432,富临精工
161,605005,合兴股份
162,603596,伯特利
163,300176,鸿特科技
164,603305,旭升集团
165,603319,美湖股份
166,603035,常熟汽饰
167,603085,天成自控
168,688280,精进电动-UW
169,301020,密封科技
170,200030,富奥B
171,002516,旷达科技
172,200581,苏威孚Ｂ
173,600933,爱柯迪
174,600178,东安动力
175,301173,毓恬冠佳
176,603730,岱美股份
177,000570,苏常柴Ａ
178,300733,西菱动力
179,001311,多利科技
180,000678,襄阳轴承
181,300580,贝斯特
182,300507,苏奥传感
183,300428,立中集团
184,300237,美晨科技
185,603949,雪龙集团
186,301581,黄山谷捷
187,601717,郑煤机
188,603210,泰鸿万立
189,832978,开特股份
190,833533,骏创科技
191,301160,翔楼新材
192,002593,日上集团
193,688612,威迈斯
194,300652,雷迪克
195,002265,建设工业
196,603202,天有为
197,600676,交运股份
198,300611,美力科技
199,002085,万丰奥威
200,603922,金鸿顺
201,603786,科博达
202,000901,航天科技
203,301397,溯联股份
204,603009,北特科技
205,603358,华达科技
206,300694,蠡湖股份
207,300446,航天智造
208,002537,海联金汇
209,002553,南方精工
210,003033,征和工业
211,603409,汇通控股
212,688533,上声电子
213,603950,长源东谷
214,603023,*ST威帝
215,600626,申达股份
216,000338,潍柴动力
217,600741,华域汽车
218,601799,星宇股份
219,002472,双环传动
220,300473,德尔股份
221,002592,ST八菱
222,301357,北方长龙
223,300681,英搏尔
224,605333,沪光股份
225,301225,恒勃股份
226,605208,永茂泰
227,300100,双林股份
228,000622,*ST恒立
