,symbol,name
0,688062,迈威生物-U
1,837344,三元基因
2,833575,康乐卫士
3,688302,海创药业-U
4,688177,百奥泰
5,688197,首药控股-U
6,300204,舒泰神
7,301393,昊帆生物
8,300485,赛升药业
9,600223,福瑞达
10,688185,康希诺
11,430047,诺思兰德
12,688235,百济神州-U
13,833230,欧康医药
14,688520,神州细胞
15,688265,南模生物
16,688382,益方生物-U
17,002693,*ST双成
18,000661,长春高新
19,002038,双鹭药业
20,688506,百利天恒
21,688136,科兴制药
22,603392,万泰生物
23,600645,中源协和
24,688319,欧林生物
25,688193,仁度生物
26,300009,安科生物
27,688687,凯因科技
28,688426,康为世纪
29,603590,康辰药业
30,002880,卫光生物
31,688331,荣昌生物
32,688180,君实生物-U
33,688176,亚虹医药-U
34,688428,诺诚健华-U
35,300142,沃森生物
36,603087,甘李药业
37,301207,华兰疫苗
38,688443,智翔金泰-U
39,600211,西藏药业
40,300601,康泰生物
41,688253,英诺特
42,301230,泓博医药
43,301166,优宁维
44,688739,成大生物
45,000534,万泽股份
46,688336,三生国健
47,688373,盟科药业-U
48,300239,东宝生物
49,000403,派林生物
50,300294,博雅生物
51,688163,赛伦生物
52,300122,智飞生物
53,002007,华兰生物
54,600161,天坛生物
55,688046,药康生物
56,600867,通化东宝
57,301047,义翘神州
58,300683,海特生物
59,688278,特宝生物
60,688137,近岸蛋白
61,688276,百克生物
62,002581,未名医药
63,002252,上海莱士
64,688710,益诺思
65,300357,我武生物
66,832982,锦波生物
67,688073,毕得医药
68,300841,康华生物
69,839729,永顺生物
70,688488,艾迪药业
71,301509,金凯生科
72,301301,川宁生物
73,000518,*ST四环
