,symbol,name
0,300819,聚杰微纤
1,603665,康隆达
2,603839,安正时尚
3,605080,浙江自然
4,603055,台华新材
5,603130,云中马
6,600400,红豆股份
7,300591,万里马
8,002875,安奈儿
9,300877,金春股份
10,603557,ST起步
11,002293,罗莱生活
12,300918,南山智尚
13,603116,红蜻蜓
14,603958,哈森股份
15,001209,洪兴股份
16,300952,恒辉安防
17,002722,物产金轮
18,603196,日播时尚
19,301276,嘉曼服饰
20,603558,健盛集团
21,002563,森马服饰
22,600232,金鹰股份
23,002656,*ST摩登
24,603808,歌力思
25,301066,万事利
26,002780,三夫户外
27,300005,探路者
28,200726,鲁  泰Ｂ
29,002674,兴业科技
30,600137,浪莎股份
31,002762,*ST金比
32,605003,众望布艺
33,600398,海澜之家
34,300577,开润股份
35,601718,际华集团
36,603587,地素时尚
37,002029,七 匹 狼
38,002763,汇洁股份
39,601599,浙文影业
40,003041,真爱美家
41,002634,棒杰股份
42,002394,联发股份
43,600987,航民股份
44,003016,欣贺股份
45,600735,新华锦
46,603908,牧高笛
47,603518,锦泓集团
48,002486,嘉麟杰
49,001234,泰慕士
50,002494,华斯股份
51,002687,乔治白
52,002327,富安娜
53,002154,报 喜 鸟
54,603889,新澳股份
55,002144,宏达高科
56,603073,彩蝶实业
57,000955,欣龙控股
58,000726,鲁  泰Ａ
59,002832,比音勒芬
60,603307,扬州金泉
61,600177,雅戈尔
62,900922,三毛B股
63,605180,华生科技
64,603365,水星家纺
65,603877,太平鸟
66,002397,梦洁股份
67,603001,奥康国际
68,603511,爱慕股份
69,601339,百隆东方
70,002083,孚日股份
71,301088,戎美股份
72,002003,伟星股份
73,300901,中胤时尚
74,300840,酷特智能
75,002404,嘉欣丝绸
76,002193,如意集团
77,601566,九牧王
78,605189,富春染织
79,603608,天创时尚
80,300979,华利集团
81,600630,龙头股份
82,002042,华孚时尚
83,600448,华纺股份
84,002269,美邦服饰
85,002098,浔兴股份
86,600156,华升股份
87,600107,ST尔雅
88,002612,朗姿股份
89,600689,上海三毛
90,002485,ST雪发
91,000850,华茂股份
92,605055,迎丰股份
93,002569,*ST步森
94,600493,凤竹纺织
95,605138,盛泰集团
96,838262,太湖雪
