,symbol,name
0,001212,中旗新材
1,605289,罗曼股份
2,002989,中天精装
3,603030,全筑股份
4,603929,亚翔集成
5,002084,海鸥住工
6,603385,惠达卫浴
7,833580,科创新材
8,603272,联翔股份
9,603408,建霖家居
10,002789,*ST建艺
11,002830,名雕股份
12,002963,豪尔赛
13,300621,维业股份
14,605287,德才股份
15,301113,雅艺科技
16,000055,方大集团
17,002081,金 螳 螂
18,002856,美芝股份
19,002482,广田集团
20,603038,华立股份
21,601886,江河集团
22,002247,聚力文化
23,002375,亚厦股份
24,301365,矩阵股份
25,002822,ST中装
26,300506,*ST名家
27,605178,时空科技
28,300374,中铁装配
29,603216,梦天家居
30,002620,ST瑞和
31,605318,法狮龙
32,002047,*ST宝鹰
33,300986,志特新材
34,603828,ST柯利达
35,002713,*ST东易
36,600193,*ST创兴
37,834765,美之高
