,symbol,name
0,600365,ST通葡
1,000729,燕京啤酒
2,002461,珠江啤酒
3,600573,惠泉啤酒
4,200596,古井贡Ｂ
5,200869,张  裕Ｂ
6,601579,会稽山
7,600059,古越龙山
8,600084,中信尼雅
9,000860,顺鑫农业
10,600132,重庆啤酒
11,600197,伊力特
12,000869,张  裕Ａ
13,000752,ST西发
14,600702,舍得酒业
15,600779,水井坊
16,600600,青岛啤酒
17,002646,天佑德酒
18,600199,金种子酒
19,600559,老白干酒
20,002304,洋河股份
21,603589,口子窖
22,600543,莫高股份
23,000799,酒鬼酒
24,603919,金徽酒
25,000995,皇台酒业
26,603779,威龙股份
27,600519,贵州茅台
28,603369,今世缘
29,603198,迎驾贡酒
30,000568,泸州老窖
31,002568,百润股份
32,600616,金枫酒业
33,000596,古井贡酒
34,000858,五 粮 液
35,600809,山西汾酒
36,600696,*ST岩石
37,000929,*ST兰黄
38,600238,*ST椰岛
