,symbol,name
0,300881,盛德鑫泰
1,605158,华达新材
2,601969,海南矿业
3,002443,金洲管道
4,000932,华菱钢铁
5,603995,甬金股份
6,601686,友发集团
7,000655,金岭矿业
8,835857,百甲科技
9,600382,广东明珠
10,002478,常宝股份
11,833751,惠同新材
12,603878,武进不锈
13,600307,酒钢宏兴
14,200761,本钢板Ｂ
15,000923,河钢资源
16,600019,宝钢股份
17,002075,沙钢股份
18,000761,本钢板材
19,002110,三钢闽光
20,000959,首钢股份
21,600399,抚顺特钢
22,600295,鄂尔多斯
23,000709,河钢股份
24,600507,方大特钢
25,600117,西宁特钢
26,601121,宝地矿业
27,600569,安阳钢铁
28,600010,包钢股份
29,000825,太钢不锈
30,000778,新兴铸管
31,002756,永兴材料
32,001203,大中矿业
33,600231,凌钢股份
34,600581,八一钢铁
35,600022,山东钢铁
36,000629,钒钛股份
37,601005,重庆钢铁
38,601003,柳钢股份
39,600808,马钢股份
40,600782,新钢股份
41,002318,久立特材
42,900936,鄂资Ｂ股
43,600282,南钢股份
44,000717,中南股份
45,000898,鞍钢股份
46,600126,杭钢股份
47,000708,中信特钢
